id,company_number,name,method_of_combination,reported_as,functional_currency,hfm_entity_code,hfm_tax_entity,hfm_hv_code,created_at,updated_at,clean_name,tax_id,parent_id
418,,Bunge SCF Grain,,,,,,,2017-02-20 17:39:01.670076,2017-02-20 17:39:01.670076,bungescfgrain,,
419,,Bunge Senwes,,,,,,,2017-02-20 17:39:01.992109,2017-02-20 17:39:01.992109,bungesenwes,,
420,,Bunge Senwes Africa Pty Ltd. ,,,,,,,2017-02-20 17:39:02.320141,2017-02-20 17:39:02.320141,bungesenwesafricaptyltd,,
421,,Bunge South Africa Ltd. ,,,,,,,2017-02-20 17:39:02.643174,2017-02-20 17:39:02.643174,bungesouthafricaltd,,
422,,Bunge Subic Bay Trading Inc. ,,,,,,,2017-02-20 17:39:02.998209,2017-02-20 17:39:02.998209,bungesubicbaytradinginc,,
423,,Bunge Turkey,,,,,,,2017-02-20 17:39:03.323242,2017-02-20 17:39:03.323242,bungeturkey,,
424,,Bunge UK,,,,,,,2017-02-20 17:39:03.716281,2017-02-20 17:39:03.716281,bungeuk,,
425,,Bunge Vostok LTD ,,,,,,,2017-02-20 17:39:04.056315,2017-02-20 17:39:04.056315,bungevostokltd,,
426,,Climate Change Capital Group ,,,,,,,2017-02-20 17:39:04.441354,2017-02-20 17:39:04.441354,climatechangecapitalgroup,,
427,,Climate Change Holdings Ltd.,,,,,,,2017-02-20 17:39:04.772387,2017-02-20 17:39:04.772387,climatechangeholdingsltd,,
428,,Consultant,,,,,,,2017-02-20 17:39:05.10642,2017-02-20 17:39:05.10642,consultant,,
429,,DOEP,,,,,,,2017-02-20 17:39:05.429452,2017-02-20 17:39:05.429452,doep,,
430,,DOEP PJSC ,,,,,,,2017-02-20 17:39:05.778487,2017-02-20 17:39:05.778487,doeppjsc,,
431,,Elevatortrade LLC ,,,,,,,2017-02-20 17:39:06.10952,2017-02-20 17:39:06.10952,elevatortradellc,,
432,,ETSC LLC ,,,,,,,2017-02-20 17:39:06.447554,2017-02-20 17:39:06.447554,etscllc,,
433,,Grains & Industrial Products Trading Pte Ltd. (Singapore) ,,,,,,,2017-02-20 17:39:06.792589,2017-02-20 17:39:06.792589,grainsindustrialproductstradingpteltdsingapore,,
434,,Greentour-Ex,,,,,,,2017-02-20 17:39:07.127622,2017-02-20 17:39:07.127622,greentourex,,
435,,Greentrans RC LLC ,,,,,,,2017-02-20 17:39:07.448654,2017-02-20 17:39:07.448654,greentransrcllc,,
436,,Harinera La Espiga,,,,,,,2017-02-20 17:39:07.778687,2017-02-20 17:39:07.778687,harineralaespiga,,
437,,Khimtrans FE ,,,,,,,2017-02-20 17:39:08.10872,2017-02-20 17:39:08.10872,khimtransfe,,
438,,Mannheim Bio Fuel GmbH,,,,,,,2017-02-20 17:39:08.444754,2017-02-20 17:39:08.444754,mannheimbiofuelgmbh,,
439,,Molinos Bunge,,,,,,,2017-02-20 17:39:08.768786,2017-02-20 17:39:08.768786,molinosbunge,,
440,,MQSET,,,,,,,2017-02-20 17:39:09.088818,2017-02-20 17:39:09.088818,mqset,,
441,,Novaol Italy ,,,,,,,2017-02-20 17:39:09.421852,2017-02-20 17:39:09.421852,novaolitaly,,
442,,Servicios Altex,,,,,,,2017-02-20 17:39:09.739883,2017-02-20 17:39:09.739883,serviciosaltex,,
443,,Servicios Bunge,,,,,,,2017-02-20 17:39:10.079917,2017-02-20 17:39:10.079917,serviciosbunge,,
444,,Servicios Molinos Bunge ,,,,,,,2017-02-20 17:39:10.424952,2017-02-20 17:39:10.424952,serviciosmolinosbunge,,
445,,"Taixing Zhenhua Oils and Fats Co., Ltd. ",,,,,,,2017-02-20 17:39:10.737983,2017-02-20 17:39:10.737983,taixingzhenhuaoilsandfatscoltd,,
446,,Unirea ,,,,,,,2017-02-20 17:39:11.064016,2017-02-20 17:39:11.064016,unirea,,
447,,Unitrans LLC ,,,,,,,2017-02-20 17:39:11.390048,2017-02-20 17:39:11.390048,unitransllc,,
448,,Walter Rau Neusser Öl und Fett AG ,,,,,,,2017-02-20 17:39:11.718081,2017-02-20 17:39:11.718081,walterrauneusserlundfettag,,
450,,1000,,,,,,,2017-02-20 17:39:12.043114,2017-02-20 17:39:12.043114,1000,,
451,,2221,,,,,,,2017-02-20 17:39:12.375147,2017-02-20 17:39:12.375147,2221,,
452,,2203,,,,,,,2017-02-20 17:39:12.698179,2017-02-20 17:39:12.698179,2203,,
453,,2233,,,,,,,2017-02-20 17:39:13.020211,2017-02-20 17:39:13.020211,2233,,
454,,2217,,,,,,,2017-02-20 17:39:13.344244,2017-02-20 17:39:13.344244,2217,,
455,,2851,,,,,,,2017-02-20 17:39:13.677277,2017-02-20 17:39:13.677277,2851,,
456,,2001,,,,,,,2017-02-20 17:39:14.00831,2017-02-20 17:39:14.00831,2001,,
457,,2229,,,,,,,2017-02-20 17:39:14.327342,2017-02-20 17:39:14.327342,2229,,
458,,1200,,,,,,,2017-02-20 17:39:14.648374,2017-02-20 17:39:14.648374,1200,,
465,,2852,,,,,,,2017-02-20 17:39:16.970606,2017-02-20 17:39:16.970606,2852,,
466,,2236,,,,,,,2017-02-20 17:39:17.313641,2017-02-20 17:39:17.313641,2236,,
467,,2227,,,,,,,2017-02-20 17:39:17.636673,2017-02-20 17:39:17.636673,2227,,
468,,1600,,,,,,,2017-02-20 17:39:17.966706,2017-02-20 17:39:17.966706,1600,,
469,,2850,,,,,,,2017-02-20 17:39:18.289738,2017-02-20 17:39:18.289738,2850,,
470,,2214,,,,,,,2017-02-20 17:39:18.633773,2017-02-20 17:39:18.633773,2214,,
471,,9992,,,,,,,2017-02-20 17:39:18.953805,2017-02-20 17:39:18.953805,9992,,
472,,2150,,,,,,,2017-02-20 17:39:19.285838,2017-02-20 17:39:19.285838,2150,,
473,,Bunge Asia Pte Ltd ,,,,,,,2017-02-20 17:39:19.613871,2017-02-20 17:39:19.613871,bungeasiapteltd,,
474,,Bunge International Commerce Ltd. - Sucursal Uruguay ,,,,,,,2017-02-20 17:39:19.958905,2017-02-20 17:39:19.958905,bungeinternationalcommerceltdsucursaluruguay,,
475,,Bunge Latin America,,,,,,,2017-02-20 17:39:20.289938,2017-02-20 17:39:20.289938,bungelatinamerica,,
