id,policy_id,user_id,created_at,updated_at,task_id
248,1,81,2017-04-26 07:37:53.173463,2017-04-26 07:37:53.173463,13790
249,1,10166,2017-04-26 08:45:18.441074,2017-04-26 08:45:18.441074,13523
250,1,354,2017-04-26 13:36:00.178135,2017-04-26 13:36:00.178135,13821
251,1,811,2017-04-26 14:08:30.672317,2017-04-26 14:08:30.672317,13888
252,1,804,2017-04-26 14:16:33.818917,2017-04-26 14:16:33.818917,13886
253,1,506,2017-04-26 15:09:54.713517,2017-04-26 15:09:54.713517,13637
254,1,9296,2017-04-27 11:18:01.256238,2017-04-27 11:18:01.256238,13748
255,1,186,2017-04-27 11:27:00.018557,2017-04-27 11:27:00.018557,13753
256,1,624,2017-04-27 11:28:40.830119,2017-04-27 11:28:40.830119,13751
257,1,176,2017-04-27 12:15:07.960879,2017-04-27 12:15:07.960879,13652
258,1,281,2017-04-27 12:17:04.134924,2017-04-27 12:17:04.134924,13624
259,1,9298,2017-04-27 14:17:27.67771,2017-04-27 14:17:27.67771,13655
260,1,550,2017-04-27 15:49:59.857233,2017-04-27 15:49:59.857233,13529
261,1,10438,2017-04-27 16:58:21.826806,2017-04-27 16:58:21.826806,13816
262,1,17825,2017-04-28 13:07:41.109964,2017-04-28 13:07:41.109964,13869
263,1,692,2017-04-28 16:15:29.16954,2017-04-28 16:15:29.16954,13801
264,1,9,2017-05-01 15:02:25.28636,2017-05-01 15:02:25.28636,13726
265,1,268,2017-05-01 17:41:33.199245,2017-05-01 17:41:33.199245,13551
266,1,1137,2017-05-01 17:41:48.834444,2017-05-01 17:41:48.834444,13767
267,1,12420,2017-05-01 17:42:16.6608,2017-05-01 17:42:16.6608,13547
268,1,325,2017-05-01 17:42:28.247888,2017-05-01 17:42:28.247888,13668
269,1,631,2017-05-01 17:44:16.866253,2017-05-01 17:44:16.866253,13543
270,1,12,2017-05-01 17:45:58.873736,2017-05-01 17:45:58.873736,13698
271,1,578,2017-05-01 17:47:11.155152,2017-05-01 17:47:11.155152,13580
272,1,455,2017-05-01 17:51:50.382345,2017-05-01 17:51:50.382345,13516
273,1,682,2017-05-01 18:00:37.536303,2017-05-01 18:00:37.536303,13574
274,1,7228,2017-05-01 18:10:40.342846,2017-05-01 18:10:40.342846,13581
275,1,28,2017-05-01 19:46:39.740137,2017-05-01 19:46:39.740137,13534
276,1,159,2017-05-01 22:48:54.237198,2017-05-01 22:48:54.237198,13819
277,1,463,2017-05-02 06:59:47.997593,2017-05-02 06:59:47.997593,13745
278,1,398,2017-05-02 07:14:55.631561,2017-05-02 07:14:55.631561,13683
279,1,271,2017-05-02 07:31:23.671695,2017-05-02 07:31:23.671695,13798
280,1,223,2017-05-02 08:58:52.292206,2017-05-02 08:58:52.292206,13739
281,1,2072,2017-05-02 17:52:49.965313,2017-05-02 17:52:49.965313,13786
282,1,377,2017-05-02 17:56:40.686862,2017-05-02 17:56:40.686862,13725
283,1,27095,2017-05-02 20:19:22.572111,2017-05-02 20:19:22.572111,13908
284,1,691,2017-05-03 07:17:47.991428,2017-05-03 07:17:47.991428,13609
285,1,12807,2017-05-03 07:23:18.186781,2017-05-03 07:23:18.186781,13623
286,1,118,2017-05-03 11:22:03.175522,2017-05-03 11:22:03.175522,13734
287,1,516,2017-05-04 14:55:26.443133,2017-05-04 14:55:26.443133,13754
